guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ひまです。
guild 931245527809540137 channel 931245527809540139 | Abvoo#7495: その様なコマンドはありません、もう一度よくお確かめの上実行してください。
guild 931245527809540137 channel 931245527809540139 | Abvoo#7495: 裏
guild 931245527809540137 channel 931245527809540139 | Abvoo#7495: その様なコマンドはありません、もう一度よくお確かめの上実行してください。
guild 931245527809540137 channel 931245527809540139 | Abvoo#7495: 表
guild 931245399379968030 channel 941120530919096370 | Abvoo#7495: 凶
guild 931245399379968030 channel 941120530919096370 | Abvoo#7495: その様なコマンドはありません、もう一度よくお確かめの上実行してください。
guild 931245399379968030 channel 941120530919096370 | DreamCatchers#2440: Test
guild 931245399379968030 channel 941120530919096370 | Abvoo#7495: 
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 🙂
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 野生のAndroid Coderが 現れた。
どうする?
┗┓
    ┣応援する
    ┣逃げる
    ┗じっと睨んでみる。
guild 938312619889156186 channel 938314878416986162 | 𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔ましゅ#0101#0000: ꜀ (ﾟ∀｡) ꜆
guild 938313481067831307 channel 938314845567201320 | 𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔ましゅ#0101#0000: ꜀ (ﾟ∀｡) ꜆
guild 938313369147035688 channel 938314864210874368 | 𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔ましゅ#0101#0000: ꜀ (ﾟ∀｡) ꜆
guild 938313501615726593 channel 938314822540484618 | 𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔𐤔ましゅ#0101#0000: ꜀ (ﾟ∀｡) ꜆
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: なんだこれ（）
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: Mirrativの非ログインユーザー向けのおすすめ配信をtxtにまとめて送る
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: hlsって書いてある奴で配信をwebから見れる。
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: ほう
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: pcだとvlcからかな。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: iPadだとwebで見れます:)
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: w
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 後でDDoS apiでも作って出来るようにしようかなw
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: いいや、めんどいし。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 🙂
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: Ubuntuでも使えるDiscordとかGoogleとかなんふぇもいいけど使えるアカウントジェネレーターない？
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: Windows環境ない…
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: あー。。。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 前私がHyper-ChatっていうRepl.itで人気になってたやつの垢Genならあるよ(もうHyper-ChatはAnti-Spamを作者が追加しまくったけど、それのせいで逆に誰もチャットできなくなった。)
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: 草ｗｗｗ
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: 
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: 仕方なしにVirtualBoxにインストール
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: ゴミクソだったら友達の借りる（）
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: w
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: マザボぶっ壊し中華SSDなのである程度インストール速い
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: SUNEASTのSSD買うのはやめようね（注意喚起）
guild 938313481067831307 channel 938314845567201320 | ももか△怪人ブランケット#0305#0000: おはよう(？)
guild 938313369147035688 channel 938314864210874368 | ももか△怪人ブランケット#0305#0000: おはよう(？)
guild 938312619889156186 channel 938314878416986162 | ももか△怪人ブランケット#0305#0000: おはよう(？)
guild 938313481067831307 channel 938314845567201320 | wawawa#7544#0000: ？？
guild 938312619889156186 channel 938314878416986162 | wawawa#7544#0000: ？？
guild 938313501615726593 channel 938314822540484618 | wawawa#7544#0000: ？？
guild 938313369147035688 channel 938314864210874368 | wawawa#7544#0000: ？？
guild 938313369147035688 channel 938314864210874368 | ばなりんちょ#8097#0000: あぁ何も考えてなかった
guild 938312619889156186 channel 938314878416986162 | ばなりんちょ#8097#0000: あぁ何も考えてなかった
guild 938313481067831307 channel 938314845567201320 | ばなりんちょ#8097#0000: あぁ何も考えてなかった
guild 938313501615726593 channel 938314822540484618 | ばなりんちょ#8097#0000: あぁ何も考えてなかった
guild 938312619889156186 channel 938314878416986162 | パブロ、テリー、YMM4使いのレーニン#0511#0000: アンミカってだけで信ぴょう性が高くなる広告
